,Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,NZDep2018
138,3,2.0,"10 Belmont Place Warkworth, Auckland",606.0,830000,-36.395545299999995,174.6535508,7001213,51,15,27,27,21,30,Warkworth,174,4.0
139,6,4.0,"164 Wade River Road Arkles Bay, Auckland",325.0,1825000,-36.6418176,174.7328175,7001628,24,15,9,9,21,24,Wade Heads,93,1.0
140,4,1.0,"36 Ngapuhi Road Remuera, Auckland",175.0,1775000,-36.876847399999996,174.8147784,7006080,39,6,21,18,27,15,Remuera,123,2.0
141,4,2.0,"5 Gulliver Road Conifer Grove, Auckland",663.0,880000,-37.0465768,174.9117585,7009901,51,39,24,33,45,39,Conifer Grove,231,2.0
142,3,1.0,"117 Settlement Road Papakura, Auckland",422.0,520000,-37.0654435,174.9672078,7010237,99,33,27,33,18,24,Papakura,237,10.0
143,3,1.0,"14 Chantal Place Red Hill, Auckland",582.0,470000,-37.0661128,174.9674898,7010237,99,33,27,33,18,24,Red Hill,237,10.0
144,4,2.0,"104 Joseph Street Flat Bush, Auckland",292.0,800000,-36.986520399999996,174.90794250000002,7009107,36,48,36,9,6,0,Flat Bush,141,4.0
145,3,2.0,"73 Joseph Street Flat Bush, Auckland",144.0,420000,-36.986073100000006,174.90841369999998,7009107,36,48,36,9,6,0,Flat Bush,141,4.0
146,3,2.0,"278 Burtt Road Pukekohe, Auckland",310.0,1250000,-37.1463039,174.929007,7010364,27,6,18,9,15,24,Paerata,96,3.0
147,2,1.0,"43 Tautari Street Orakei, Auckland",849.0,2275000,-36.8569511,174.818547,7006050,42,15,21,27,21,39,Orakei,168,4.0
148,5,3.0,"45 Tautari Street Orakei, Auckland",1032.0,2625000,-36.8568781,174.8186995,7006050,42,15,21,27,21,39,Orakei,168,4.0
149,3,1.0,"2 Kilcar Place Massey, Auckland",446.0,560000,-36.8412486,174.6043601,7003521,48,30,27,27,21,21,Massey,177,8.0
150,4,1.0,"17 Albion Place Papakura, Auckland",951.0,680000,-37.067935399999996,174.9598568,7010199,87,48,27,21,33,18,Papakura,237,9.0
151,3,2.0,"71b Settlement Road Papakura, Auckland",571.0,670000,-37.066514,174.9580746,7010199,87,48,27,21,33,18,Papakura,237,9.0
152,5,3.0,"8 Della Place Conifer Grove, Auckland",877.0,1490000,-37.0516846,174.90614230000003,7009906,36,21,12,30,27,42,Conifer Grove,168,2.0
153,4,2.0,"67 Verran Road Birkenhead, Auckland",809.0,830000,-36.804617799999995,174.71203480000003,7002666,54,36,33,30,15,21,Birkenhead,195,3.0
154,7,2.0,"33 Haslett Street Eden Terrace, Auckland",333.0,1400000,-36.8661486,174.75379180000002,7005141,24,42,21,12,12,15,Eden Terrace,132,3.0
155,3,1.0,"120 Portage Road New Lynn, Auckland",1513.0,1005000,-36.920320000000004,174.6919081,7007481,30,15,15,9,12,6,New Lynn,90,9.0
156,3,2.0,"5/16 Duncan Avenue Te Atatu South, Auckland",528.0,850000,-36.877027399999996,174.640536,7003976,27,18,21,12,6,18,Te Atatu South,102,7.0
157,3,1.0,"11 Tangaroa Street Point England, Auckland",636.0,1040000,-36.8901125,174.8659207,7006581,57,27,18,15,18,12,Point England,147,10.0
158,5,3.0,"10 Kouras Place Flat Bush, Auckland",417.0,1225000,-36.959775,174.93261090000001,7009292,39,12,21,21,15,3,Flat Bush,111,5.0
159,3,2.0,"2/34 Walpole Avenue Manurewa, Auckland",170.0,630000,-37.0146766,174.89846619999997,7009772,51,39,39,27,18,36,Manurewa,210,6.0
160,3,1.0,"4 Sally Crescent Mount Roskill, Auckland",658.0,990000,-36.9094537,174.7238505,7007592,45,45,24,30,18,39,Mount Roskill,201,6.0
161,4,2.0,"61 Otitori Bay Road Titirangi, Auckland",1573.0,825000,-36.9465931,174.6634799,7007342,48,9,15,33,18,21,Titirangi,135,1.0
162,9,4.0,"Glendowie  Auckland City  1071 Glendowie, Auckland",1843.0,2200000,-36.8603096,174.86930180000002,7006635,30,18,3,18,21,12,Glendowie,102,4.0
163,4,2.0,"9 Colchester Avenue Glendowie, Auckland",404.0,2050000,-36.859620899999996,174.8696361,7006635,30,18,3,18,21,12,Glendowie,102,4.0
164,2,1.0,"19 Gwilliam Place Freemans Bay, Auckland",176.0,1500000,-36.8506282,174.7506425,7005093,21,27,21,15,15,48,Freemans Bay,147,3.0
165,3,1.0,"23 Mountain Road Mount Wellington, Auckland",80.0,960000,-36.895639,174.8455024,7006461,27,12,27,24,18,15,Mount Wellington,123,6.0
166,4,2.0,"10 Willoughby Avenue Howick, Auckland",683.0,970000,-36.8976911,174.9135872,7006911,69,24,27,33,12,27,Howick,195,5.0
167,4,3.0,"64 Selman Road Dairy Flat, Auckland",380.0,2525000,-36.6374487,174.6341666,7001771,57,18,27,30,39,54,Dairy Flat,219,3.0
168,3,2.0,"4 Hilltop Street Remuera, Auckland",117.0,1220000,-36.883432299999996,174.81580459999998,7006097,63,30,42,39,24,30,Remuera,219,1.0
169,5,3.0,"60 Fernhill Way Albany, Auckland",555.0,1345000,-36.7233994,174.72007580000002,7001859,48,42,30,21,21,30,Oteha,189,4.0
170,4,3.0,"201b Jervois Road Herne Bay, Auckland",763.0,4700000,-36.8470899,174.7318972,7004701,45,24,15,30,33,39,Herne Bay,189,1.0
171,4,2.0,"8 Balmain Road Birkenhead, Auckland",230.0,1100000,-36.8118318,174.7101814,7004547,60,24,36,36,24,66,Chatswood,249,2.0
172,2,1.0,"37 Bluegrey Avenue Stonefields, Auckland",104.0,1020000,-36.8865576,174.8404341,7006346,27,42,24,21,18,27,Stonefields,162,2.0
173,3,1.0,"20 Zelda Avenue Clover Park, Auckland",600.0,630000,-36.97792020000001,174.8961056,7008964,63,36,24,27,24,30,Clover Park,195,9.0
174,3,2.0,"2/1255 Dominion Rd Ext Mount Roskill, Auckland",166.0,830000,-36.9209207,174.7357439,7007672,81,39,60,30,21,27,Mount Roskill,258,7.0
175,4,2.0,"10 Huahua Crescent Papakura, Auckland",519.0,470000,-37.0493856,174.97289080000002,7010211,123,99,93,39,39,18,Papakura,414,5.0
176,5,3.0,"22 Huahua Crescent Papakura, Auckland",528.0,470000,-37.0502164,174.97293630000001,7010211,123,99,93,39,39,18,Papakura,414,5.0
177,5,3.0,"77 Twin Parks Rise Papakura, Auckland",603.0,480000,-37.049918,174.9724182,7010211,123,99,93,39,39,18,Papakura,414,5.0
178,3,1.0,"41 Rathmar Drive Manurewa, Auckland",439.0,780000,-37.01495739999999,174.91502240000003,7009850,45,24,33,27,36,36,Manurewa,204,4.0
179,3,1.0,"8 Justamere Place Weymouth, Auckland",600.0,530000,-37.042509499999994,174.8673894,7009515,78,33,39,24,30,24,Weymouth,225,10.0
180,3,1.0,"8 Justamere Place Weymouth, Auckland",600.0,530000,-37.042509499999994,174.8673894,7009515,78,33,39,24,30,24,Weymouth,225,10.0
181,3,2.0,"129 Hobsonville Road West Harbour, Auckland",368.0,880000,-36.8152696,174.6288851,7003789,45,30,15,27,24,36,West Harbour,174,4.0
182,3,1.0,"92 Buckville Road Buckland, Auckland",1012.0,2112000,-37.2271956,174.93889099999998,7010971,39,6,9,24,18,36,Buckland,129,3.0
